id,floorId,name,poiX,poiY,roomType
1,1,Room for scanning APs,0,0,room
2,2,A1.01,0,0,room
3,2,A1.02,0,0,room
4,2,A1.03-04,0,0,room
5,2,A1.07,0,0,room
6,2,A1.08,0,0,room
7,2,A1.09,0,0,room
8,2,A1.10,0,0,room
9,2,A2.01 (Auditorium),0,0,room
10,2,A2.06,0,0,room
11,2,A2.07,0,0,room
12,2,A2.08,0,0,room
13,2,A2.09,0,0,room
14,2,A3.01,0,0,room
15,2,A3.02,0,0,room
16,2,A3.03,0,0,room
17,2,A3.04,0,0,room
18,2,A3.05,0,0,room
19,2,A3.06,0,0,room
20,2,A5.03,0,0,room
21,2,A5.02,0,0,room
22,2,A5.01,0,0,room
23,2,A5.17,0,0,room
24,2,A5.18,0,0,room
25,2,A5.19,0,0,room
26,2,A5.20,0,0,room
27,2,A6.01,0,0,room
28,2,A6.02,0,0,room
29,2,A6.07,0,0,room
30,2,A6.08,0,0,room
31,2,A6.09,0,0,room
32,2,A6.10,0,0,room
33,2,A6.11,0,0,room
34,2,A6.12,0,0,room
35,2,A7.01,0,0,room
36,2,A7.02,0,0,room
37,2,A7.11,0,0,room
38,2,A7.12,0,0,room
39,2,A7.13,0,0,room
40,2,A7.14,0,0,room
41,2,A7.15,0,0,room
